record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
IZTECH_S001,2024-12-23T13:30:00Z,NA,"Toplu taşımada kamera sanıp el salladılar ve kamera olmadığını aciklamama rağmen ciddiye almadilar . Incelemeye ve aralarinda konuşmaya devam ettiler, biraz utanç vericiydi.",NA,Etkilemeyecek.,NA,"On public transportation, people thought the device was a camera and waved at it, and even though I explained it wasn't a camera, they didn't take me seriously. They continued to examine it and discuss it among themselves; it was a bit embarrassing.",NA,It will not affect my future use.
IZTECH_S001,2024-12-23T15:00:00Z,NA,Eve geldigimde görüntüm sebebiyle bir 10 dk gulduler. Kötü hissetmedi ben de guldum.,NA,Etkilemeyecek.,NA,"When I arrived at the house, they laughed for about 10 minutes because of my appearance. I did not feel bad, I laughed too.",NA,It will not affect it.
IZTECH_S001,2024-12-25T08:30:00Z,NA,"Klinikte hastalarim kamera olduğunu sanarak kendi goruntulerini aldığım sanıp cikartmami istedikler, acikladigimda deneyi de sacma bulup dalga gectiler.Sinirlendim ve anlasilmamis hissettim.",NA,Etkilemeyecek.,NA,"In the clinic, my patients thought there was a camera and that I was recording their images, so they asked me to remove the glasses. When I explained, they found the experiment pointless and made fun of it. I felt angry and misunderstood.",NA,It will not affect my future use.
IZTECH_S001,2024-12-25T10:04:00Z,NA,"Kahve almaya gittigim cafede baristalarin gulmesi ve saçma bulmasi ve dedikodumu yapmaya devam etti, utanç duydum.",NA,Etkilemeyecek.,NA,"When I went to the cafe to get coffee, the baristas laughed at me and found it weird, and they continued to gossip about me. I felt embarrassed.",NA,It will not affect my future use.
IZTECH_S001,2024-12-26T15:15:00Z,NA,bebek bir hasta ayak muayenesini yaparken boynumdaki cihazi oyuncak sanıp timing aparatina basti 5 kez sanirim,NA,Etkilemeyecek.,NA,"While I was performing a foot examination on a baby patient, the baby thought the device on my neck was a toy and pressed the timing apparatus, I think about 5 times.",NA,It will not affect it.
IZTECH_S001,2024-12-28T07:10:00Z,NA,Ekipmanlari kullanmaya basladigim çarşamba gununden  cumartesi son hastaya kadar her hastada ne olduğu neden yapıldığı vb soruldu yani ayrıca klinikteki herkese de acikladim yani totaled 5 günde 40 kişinin sorununuz yanitladim,NA,Etkilemedi devam ettim her muayene de ve terapi seansinda kullanmaya,NA,"From the Wednesday when I started using the equipment to the last patient on Saturday, every patient asked what was happening and why, etc. So basically, I explained it to everyone in the clinic; in total, I answered the questions of around 40 people in 5 days.",NA,It did not affect me; I continued to use the glasses in every examination and therapy session.
IZTECH_S001,2024-12-28T11:10:00Z,NA,Polis cevirmesinde ehliyet vs sorarken on dakika boyunca gozlugu inceledi ama soru sormadi. Biraz tedirgin hissettim.,NA,Etkilemedi.,NA,"At the police checkpoint, while asking for my driver's license etc., the officer examined the glasses for about ten minutes but did not ask any questions. I felt a bit uneasy.",NA,It did not affect it.
IZTECH_S001,2024-12-28T11:56:00Z,NA,"Havalimani guvenliginin dikkatini cekti on dakika kadar inceledi,tedirgin hissettim.",NA,Hayir.,NA,"The airport security noticed and examined it for about ten minutes, I felt uneasy.",NA,No.
IZTECH_S001,2024-12-29T10:00:00Z,NA,"Kent ormaninda bisikletle turluyordum gozlugu ve kolyeyi merak ettiler sorular sorular, heyacnalandim ve mutlu hissettim.",NA,Hayir,NA,"I was cycling in the city forest, people were curious about the glasses and necklace and asked questions. I felt excited and happy.",NA,No
IZTECH_S001,2024-12-29T11:00:00Z,NA,"kitap okudugum kafede kamera veya ekipman olduğunu sandilar bisikletim oldugu icin kisaca deneyi acikladim heyecan verici buldular, deneyi ve sonuclarini merak ettiler, yaz saati uygulamasi ve gunes isigi almak hakkinda baya sohbet edildi.",NA,Etkilemeyecek.,NA,"At the cafe where I was reading a book, people thought there was a camera or some equipment. Since I had my bike, I briefly explained the experiment. They found it exciting and were curious about the experiment and its results. We had quite a conversation about daylight saving time and getting sunlight.",NA,It will not affect my future use.
