record_id,type,type_english
IZTECH_S001,Hatha Yoga ve yürüyüş,Hatha Yoga and walking
IZTECH_S001,"25 dk kosu , 40 dk yin yoga , 35 dk cardio","25 min run, 40 min yin yoga, 35 min cardio"
IZTECH_S001,Açık Alan; Yoga/ Kapalı Alan :Crossfire,Open Area; Yoga/ Indoor Area: Crossfire
IZTECH_S001,Pilates ve Cross fit,Pilates and CrossFit
IZTECH_S001,Kosu ve  Pilates,Running and Pilates
IZTECH_S001,bisiklete binmek,riding a bicycle
IZTECH_S001,Açık alan kosu ve bisiklet / Kapalı alan yoga ve reformer pilates,Outdoor running and cycling / Indoor yoga and reformer pilates
IZTECH_S002,yürüyüş,walking
IZTECH_S002,NA,NA
IZTECH_S003,yürüyüş,walking
IZTECH_S003,NA,NA
IZTECH_S004,NA,NA
IZTECH_S004,açık havada yürüyüş,outdoor walking
IZTECH_S004,açık havada yürüyüş yapmak,walking outdoors
IZTECH_S005,NA,NA
IZTECH_S005,"Açık havada 30dk yürüyüş, evde 15dk kas çalıştıran hareketler","30-minute walk outdoors, 15 minutes of muscle-strengthening exercises at home"
IZTECH_S005,Açık havada yürüyüş.,Outdoor walking.
IZTECH_S005,10 dakikalık hafif egzersiz,10-minute light exercise
IZTECH_S006,koşu,running
IZTECH_S006,NA,NA
IZTECH_S006,yürüyüş,walk
IZTECH_S007,Ağırlık ile vücut geliştirme ve koşu,Bodybuilding with weights and running
IZTECH_S007,5km yüksek tempo molasız koşu. 28dk.,5km high-intensity continuous run. 28 minutes.
IZTECH_S007,ağrılık kaldırarak vücut geliştirme ve 1km yüksek tempo koşu,weightlifting and 1km high-intensity running
IZTECH_S007,yürüyüş,walking
IZTECH_S007,ağrılık kaldırma,weight lifting
IZTECH_S007,Yürüyüş,Walking
IZTECH_S007,NA,NA
IZTECH_S008,NA,NA
IZTECH_S008,yürüyüş,walking
IZTECH_S009,yürüyüş,walking
IZTECH_S009,suspension training,suspension training
IZTECH_S009,dans etmek,dancing
IZTECH_S009,NA,NA
IZTECH_S010,Yürüme bandı yürüyüş,Treadmill walking
IZTECH_S010,Yürüme bandı,Treadmill
IZTECH_S010,"Yürüyüş, esneme","Walking, stretching"
IZTECH_S010,yürüyüş,walking
IZTECH_S010,Yürüyüş,Walking
IZTECH_S011,NA,NA
IZTECH_S012,Köye inmek (ki bu 15000 adım yapıyor),"Go to the village (which is 15,000 steps)"
IZTECH_S012,NA,NA
IZTECH_S012,yürüyüş (13000 adım),walking (13000 steps)
IZTECH_S012,11000 adım,11000 steps
IZTECH_S012,yürümek - 12000 adım,walking - 12000 steps
IZTECH_S013,NA,NA
IZTECH_S013,yürüdüm,I walked
IZTECH_S013,yürümek,walking
IZTECH_S014,Yürüyüş,Walking
IZTECH_S014,şirot(?) nasıl yazıldığını bilmiyorum,NA
IZTECH_S014,Şirot(?) nasıl yazıldığından emin değilim,Shirot (not sure about the spelling)
IZTECH_S015,yürüyüş,walking
IZTECH_S015,ev işi yapmak,do housework
IZTECH_S015,NA,NA
IZTECH_S015,koşma,song/folk poem
IZTECH_S015,evde pilates,pilates at home
IZTECH_S016,"yürüdüm, merdiven çıktım, oturdum","I walked, climbed stairs, sat down"
IZTECH_S016,şınav mekik ip,push-up sit-up rope
IZTECH_S016,fitness,fitness
IZTECH_S016,yürüdüm,I walked
IZTECH_S016,spor,sports
IZTECH_S017,Hızlı tempoda yürümek,Brisk walking
IZTECH_S017,NA,NA
IZTECH_S017,Bir yerden bir yere biraz hızlı bir tempoda yürüdüm,I walked from one place to another at a slightly fast pace
IZTECH_S017,Dışarıda yürüyerek yolculuk yapmak,Traveling outdoors by walking
IZTECH_S017,Koşmak,Running
IZTECH_S017,Yürümek,Walking
